Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-03-2020,,,,,,,,
Gegevens beschikbaar:,30-10-2015,tot:,18-09-2019,,,,,,,,
Datum: ,08-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B28H1883,002,,256056,484978,1855,26-08-2015,26-08-2015,18-09-2019,1980,125,1563,1513


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B28H1883,002,24-06-2016,116,-9,1864,,,,,,
B28H1883,002,25-06-2016,114,-11,1866,,,,,,
B28H1883,002,26-06-2016,116,-9,1864,,,,,,
B28H1883,002,27-06-2016,117,-8,1863,,,,,,
B28H1883,002,28-06-2016,119,-6,1861,,,,,,
B28H1883,002,29-06-2016,120,-5,1860,,,,,,
B28H1883,002,30-06-2016,122,-3,1858,,,,,,
B28H1883,002,01-07-2016,122,-3,1858,,,,,,
B28H1883,002,02-07-2016,118,-7,1862,,,,,,
B28H1883,002,03-07-2016,118,-7,1862,,,,,,
B28H1883,002,04-07-2016,124,-1,1856,,,,,,
B28H1883,002,05-07-2016,125,0,1855,,,,,,
B28H1883,002,06-07-2016,130,5,1850,,,,,,
B28H1883,002,07-07-2016,136,11,1844,,,,,,
B28H1883,002,08-07-2016,138,13,1842,,,,,,
B28H1883,002,09-07-2016,142,17,1838,,,,,,
B28H1883,002,10-07-2016,148,23,1832,,,,,,
B28H1883,002,11-07-2016,153,28,1827,,,,,,
B28H1883,002,12-07-2016,155,30,1825,,,,,,
B28H1883,002,13-07-2016,152,27,1828,,,,,,
B28H1883,002,14-07-2016,144,19,1836,,,,,,
B28H1883,002,15-07-2016,151,26,1829,,,,,,
B28H1883,002,16-07-2016,152,27,1828,,,,,,
B28H1883,002,17-07-2016,153,28,1827,,,,,,
B28H1883,002,18-07-2016,160,35,1820,,,,,,
B28H1883,002,19-07-2016,166,41,1814,,,,,,
B28H1883,002,20-07-2016,172,47,1808,,,,,,
B28H1883,002,21-07-2016,169,44,1811,,,,,,
B28H1883,002,22-07-2016,127,2,1853,,,,,,
B28H1883,002,23-07-2016,132,7,1848,,,,,,
B28H1883,002,24-07-2016,136,11,1844,,,,,,
B28H1883,002,25-07-2016,145,20,1835,,,,,,
B28H1883,002,26-07-2016,150,25,1830,,,,,,
B28H1883,002,27-07-2016,154,29,1826,,,,,,
B28H1883,002,28-07-2016,144,19,1836,,,,,,
B28H1883,002,29-07-2016,135,10,1845,,,,,,
B28H1883,002,30-07-2016,141,16,1839,,,,,,
B28H1883,002,31-07-2016,139,14,1841,,,,,,
B28H1883,002,01-08-2016,130,5,1850,,,,,,
B28H1883,002,02-08-2016,132,7,1848,,,,,,
B28H1883,002,03-08-2016,126,1,1854,,,,,,
B28H1883,002,04-08-2016,127,2,1853,,,,,,
B28H1883,002,05-08-2016,134,9,1846,,,,,,
B28H1883,002,06-08-2016,133,8,1847,,,,,,
B28H1883,002,07-08-2016,139,14,1841,,,,,,
B28H1883,002,08-08-2016,140,15,1840,,,,,,
B28H1883,002,09-08-2016,145,20,1835,,,,,,
B28H1883,002,10-08-2016,133,8,1847,,,,,,
B28H1883,002,11-08-2016,138,13,1842,,,,,,
B28H1883,002,12-08-2016,123,-2,1857,,,,,,
B28H1883,002,13-08-2016,126,1,1854,,,,,,
B28H1883,002,14-08-2016,131,6,1849,,,,,,
B28H1883,002,15-08-2016,137,12,1843,,,,,,
B28H1883,002,16-08-2016,142,17,1838,,,,,,
B28H1883,002,17-08-2016,148,23,1832,,,,,,
B28H1883,002,18-08-2016,153,28,1827,,,,,,
B28H1883,002,19-08-2016,156,31,1824,,,,,,
B28H1883,002,20-08-2016,154,29,1826,,,,,,
B28H1883,002,21-08-2016,154,29,1826,,,,,,
B28H1883,002,22-08-2016,150,25,1830,,,,,,
B28H1883,002,23-08-2016,156,31,1824,,,,,,
B28H1883,002,24-08-2016,164,39,1816,,,,,,
B28H1883,002,25-08-2016,170,45,1810,,,,,,
B28H1883,002,26-08-2016,174,49,1806,,,,,,
B28H1883,002,27-08-2016,174,49,1806,,,,,,
B28H1883,002,28-08-2016,174,49,1806,,,,,,
B28H1883,002,29-08-2016,174,49,1806,,,,,,
B28H1883,002,30-08-2016,176,51,1804,,,,,,
B28H1883,002,31-08-2016,179,54,1801,,,,,,
B28H1883,002,01-09-2016,178,53,1802,,,,,,
B28H1883,002,02-09-2016,173,48,1807,,,,,,
B28H1883,002,03-09-2016,174,49,1806,,,,,,
B28H1883,002,04-09-2016,172,47,1808,,,,,,
B28H1883,002,05-09-2016,168,43,1812,,,,,,
B28H1883,002,06-09-2016,173,48,1807,,,,,,
B28H1883,002,07-09-2016,178,53,1802,,,,,,
B28H1883,002,08-09-2016,183,58,1797,,,,,,
B28H1883,002,09-09-2016,179,54,1801,,,,,,
B28H1883,002,10-09-2016,182,57,1798,,,,,,
B28H1883,002,11-09-2016,183,58,1797,,,,,,
B28H1883,002,12-09-2016,185,60,1795,,,,,,
B28H1883,002,13-09-2016,188,63,1792,,,,,,
B28H1883,002,14-09-2016,191,66,1789,,,,,,
B28H1883,002,15-09-2016,193,68,1787,,,,,,
B28H1883,002,16-09-2016,186,61,1794,,,,,,
B28H1883,002,17-09-2016,184,59,1796,,,,,,
B28H1883,002,18-09-2016,182,57,1798,,,,,,
B28H1883,002,19-09-2016,187,62,1793,,,,,,
B28H1883,002,20-09-2016,184,59,1796,,,,,,
B28H1883,002,21-09-2016,188,63,1792,,,,,,
B28H1883,002,22-09-2016,191,66,1789,,,,,,
B28H1883,002,23-09-2016,190,65,1790,,,,,,
B28H1883,002,24-09-2016,192,67,1788,,,,,,
B28H1883,002,25-09-2016,196,71,1784,,,,,,
B28H1883,002,26-09-2016,193,68,1787,,,,,,
B28H1883,002,27-09-2016,192,67,1788,,,,,,
B28H1883,002,28-09-2016,198,73,1782,,,,,,
B28H1883,002,29-09-2016,199,74,1781,,,,,,
B28H1883,002,30-09-2016,186,61,1794,,,,,,
B28H1883,002,01-10-2016,185,60,1795,,,,,,
B28H1883,002,02-10-2016,183,58,1797,,,,,,
B28H1883,002,03-10-2016,182,57,1798,,,,,,
B28H1883,002,04-10-2016,181,56,1799,,,,,,
B28H1883,002,05-10-2016,184,59,1796,,,,,,
B28H1883,002,06-10-2016,184,59,1796,,,,,,
B28H1883,002,07-10-2016,184,59,1796,,,,,,
B28H1883,002,08-10-2016,184,59,1796,,,,,,
B28H1883,002,09-10-2016,183,58,1797,,,,,,
